max_df,min_df,filts,vectorizer,model,score
0.8,11,tok stop,TfidfVectorizer,MultinomialNB,0.9360968711331095
0.8,11,tok stop,TfidfVectorizer,BernoulliNB,0.8548700724765776
0.8,11,tok lem stop stem,CountVectorizer,MultinomialNB,0.9041011136644864
0.8,11,tok lem stop stem,CountVectorizer,BernoulliNB,0.8519533321548524
0.8,11,tok lem stop stem,TfidfVectorizer,MultinomialNB,0.9303517765600141
0.8,11,tok lem stop stem,TfidfVectorizer,BernoulliNB,0.8519533321548524
0.8,11,tok lem stop stem filt,CountVectorizer,MultinomialNB,0.927169878027223
0.8,11,tok lem stop stem filt,CountVectorizer,BernoulliNB,0.8280890931589181
0.8,11,tok lem stop stem filt,TfidfVectorizer,MultinomialNB,0.9222202580873254
0.8,11,tok lem stop stem filt,TfidfVectorizer,BernoulliNB,0.8280890931589181
0.8,57,tok,CountVectorizer,MultinomialNB,0.8853632667491603
0.8,57,tok,CountVectorizer,BernoulliNB,0.7757645395085735
0.8,57,tok,TfidfVectorizer,MultinomialNB,0.889782570266926
0.8,57,tok,TfidfVectorizer,BernoulliNB,0.7757645395085735
0.8,57,tok lem stem,CountVectorizer,MultinomialNB,0.8528371928584055
0.8,57,tok lem stem,CountVectorizer,BernoulliNB,0.777620646986035
0.8,57,tok lem stem,TfidfVectorizer,MultinomialNB,0.8908432031111897
0.8,57,tok lem stem,TfidfVectorizer,BernoulliNB,0.777620646986035
0.8,57,tok stop,CountVectorizer,MultinomialNB,0.8927876966590066
0.8,57,tok stop,CountVectorizer,BernoulliNB,0.8102351069471452
0.8,57,tok stop,TfidfVectorizer,MultinomialNB,0.8970302280360615
0.8,57,tok stop,TfidfVectorizer,BernoulliNB,0.8102351069471452
0.8,57,tok lem stop stem,CountVectorizer,MultinomialNB,0.8568145660243945
0.8,57,tok lem stop stem,CountVectorizer,BernoulliNB,0.8066112780625774
0.8,57,tok lem stop stem,TfidfVectorizer,MultinomialNB,0.8953508926993106
0.8,57,tok lem stop stem,TfidfVectorizer,BernoulliNB,0.8066112780625774
0.8,57,tok lem stop stem filt,CountVectorizer,MultinomialNB,0.8805020328796181
0.8,57,tok lem stop stem filt,CountVectorizer,BernoulliNB,0.7707265334983207
0.8,57,tok lem stop stem filt,TfidfVectorizer,MultinomialNB,0.8865122856637794
0.8,57,tok lem stop stem filt,TfidfVectorizer,BernoulliNB,0.7707265334983207
0.8,113,tok,CountVectorizer,MultinomialNB,0.8332154852395263
0.8,113,tok,CountVectorizer,BernoulliNB,0.7163691002298038
0.8,113,tok,TfidfVectorizer,MultinomialNB,0.8609687113310942
0.8,113,tok,TfidfVectorizer,BernoulliNB,0.7163691002298038
0.8,113,tok lem stem,CountVectorizer,MultinomialNB,0.8431147251193212
0.8,113,tok lem stem,CountVectorizer,BernoulliNB,0.7257380236874669
0.8,113,tok lem stem,TfidfVectorizer,MultinomialNB,0.8665370337634789
0.8,113,tok lem stem,TfidfVectorizer,BernoulliNB,0.7257380236874669
0.8,113,tok stop,CountVectorizer,MultinomialNB,0.8432031111896765
0.8,113,tok stop,CountVectorizer,BernoulliNB,0.758352483648577
0.8,113,tok stop,TfidfVectorizer,MultinomialNB,0.8665370337634789
0.8,113,tok stop,TfidfVectorizer,BernoulliNB,0.758352483648577
0.8,113,tok lem stop stem,CountVectorizer,MultinomialNB,0.8501856107477461
0.8,113,tok lem stop stem,CountVectorizer,BernoulliNB,0.7585292557892876
0.8,113,tok lem stop stem,TfidfVectorizer,MultinomialNB,0.8713982676330211
0.8,113,tok lem stop stem,TfidfVectorizer,BernoulliNB,0.7585292557892876
0.8,113,tok lem stop stem filt,CountVectorizer,MultinomialNB,0.8415237758529256
0.8,113,tok lem stop stem filt,CountVectorizer,BernoulliNB,0.7242354604914265
0.8,113,tok lem stop stem filt,TfidfVectorizer,MultinomialNB,0.8562842496022627
0.8,113,tok lem stop stem filt,TfidfVectorizer,BernoulliNB,0.7242354604914265
0.8,566,tok,CountVectorizer,MultinomialNB,0.5102527841612162
0.8,566,tok,CountVectorizer,BernoulliNB,0.40692946791585644
0.8,566,tok,TfidfVectorizer,MultinomialNB,0.5739791408873961
0.8,566,tok,TfidfVectorizer,BernoulliNB,0.40692946791585644
0.8,566,tok lem stem,CountVectorizer,MultinomialNB,0.5875905957221141
0.8,566,tok lem stem,CountVectorizer,BernoulliNB,0.46853455895350893
0.8,566,tok lem stem,TfidfVectorizer,MultinomialNB,0.6422131872016971
0.8,566,tok lem stem,TfidfVectorizer,BernoulliNB,0.46853455895350893
0.8,566,tok stop,CountVectorizer,MultinomialNB,0.505126392080608
0.8,566,tok stop,CountVectorizer,BernoulliNB,0.4329149726003182
0.8,566,tok stop,TfidfVectorizer,MultinomialNB,0.5553296800424253
0.8,566,tok stop,TfidfVectorizer,BernoulliNB,0.4329149726003182
0.8,566,tok lem stop stem,CountVectorizer,MultinomialNB,0.5890047728477992
0.8,566,tok lem stop stem,CountVectorizer,BernoulliNB,0.4968181014672088
0.8,566,tok lem stop stem,TfidfVectorizer,MultinomialNB,0.6376171115432208
0.8,566,tok lem stop stem,TfidfVectorizer,BernoulliNB,0.4968181014672088
0.8,566,tok lem stop stem filt,CountVectorizer,MultinomialNB,0.5763655647869895
0.8,566,tok lem stop stem filt,CountVectorizer,BernoulliNB,0.46579459077249424
0.8,566,tok lem stop stem filt,TfidfVectorizer,MultinomialNB,0.611896765069825
0.8,566,tok lem stop stem filt,TfidfVectorizer,BernoulliNB,0.46579459077249424
0.9,1,tok,CountVectorizer,MultinomialNB,0.9268163337458016
0.9,1,tok,CountVectorizer,BernoulliNB,0.7831889694184196
0.9,1,tok,TfidfVectorizer,MultinomialNB,0.9349478522184904
0.9,1,tok,TfidfVectorizer,BernoulliNB,0.7831889694184196
0.9,1,tok lem stem,CountVectorizer,MultinomialNB,0.9193035177656002
0.9,1,tok lem stem,CountVectorizer,BernoulliNB,0.7888456779211597
0.9,1,tok lem stem,TfidfVectorizer,MultinomialNB,0.9288492133639739
0.9,1,tok lem stem,TfidfVectorizer,BernoulliNB,0.7888456779211597
0.9,1,tok stop,CountVectorizer,MultinomialNB,0.9441400035354428
0.9,1,tok stop,CountVectorizer,BernoulliNB,0.8030758352483649
0.9,1,tok stop,TfidfVectorizer,MultinomialNB,0.9543044016263037
0.9,1,tok stop,TfidfVectorizer,BernoulliNB,0.8030758352483649
0.9,1,tok lem stop stem,CountVectorizer,MultinomialNB,0.9336220611631607
0.9,1,tok lem stop stem,CountVectorizer,BernoulliNB,0.8044016263036945
0.9,1,tok lem stop stem,TfidfVectorizer,MultinomialNB,0.9454657945907725
0.9,1,tok lem stop stem,TfidfVectorizer,BernoulliNB,0.8044016263036945
0.9,1,tok lem stop stem filt,CountVectorizer,MultinomialNB,0.9556301926816334
0.9,1,tok lem stop stem filt,CountVectorizer,BernoulliNB,0.8256142831889695
0.9,1,tok lem stop stem filt,TfidfVectorizer,MultinomialNB,0.9368923457663072
0.9,1,tok lem stop stem filt,TfidfVectorizer,BernoulliNB,0.8256142831889695
0.9,11,tok,CountVectorizer,MultinomialNB,0.9048082022273289
0.9,11,tok,CountVectorizer,BernoulliNB,0.8333922573802369
0.9,11,tok,TfidfVectorizer,MultinomialNB,0.9261976312533144
0.9,11,tok,TfidfVectorizer,BernoulliNB,0.8333922573802369
0.9,11,tok lem stem,CountVectorizer,MultinomialNB,0.8998585822874315
0.9,11,tok lem stem,CountVectorizer,BernoulliNB,0.8325083966766837
0.9,11,tok lem stem,TfidfVectorizer,MultinomialNB,0.9213363973837723
0.9,11,tok lem stem,TfidfVectorizer,BernoulliNB,0.8325083966766837
0.9,11,tok stop,CountVectorizer,MultinomialNB,0.9094926639561605
0.9,11,tok stop,CountVectorizer,BernoulliNB,0.8548700724765776
0.9,11,tok stop,TfidfVectorizer,MultinomialNB,0.9360968711331095
0.9,11,tok stop,TfidfVectorizer,BernoulliNB,0.8548700724765776
0.9,11,tok lem stop stem,CountVectorizer,MultinomialNB,0.9041011136644864
0.9,11,tok lem stop stem,CountVectorizer,BernoulliNB,0.8519533321548524
0.9,11,tok lem stop stem,TfidfVectorizer,MultinomialNB,0.9303517765600141
0.9,11,tok lem stop stem,TfidfVectorizer,BernoulliNB,0.8519533321548524
0.9,11,tok lem stop stem filt,CountVectorizer,MultinomialNB,0.927169878027223
0.9,11,tok lem stop stem filt,CountVectorizer,BernoulliNB,0.8280890931589181
0.9,11,tok lem stop stem filt,TfidfVectorizer,MultinomialNB,0.9222202580873254
0.9,11,tok lem stop stem filt,TfidfVectorizer,BernoulliNB,0.8280890931589181
0.9,57,tok,CountVectorizer,MultinomialNB,0.8838607035531201
0.9,57,tok,CountVectorizer,BernoulliNB,0.7739084320311119
0.9,57,tok,TfidfVectorizer,MultinomialNB,0.8879264627894644
0.9,57,tok,TfidfVectorizer,BernoulliNB,0.7739084320311119
0.9,57,tok lem stem,CountVectorizer,MultinomialNB,0.8528371928584055
0.9,57,tok lem stem,CountVectorizer,BernoulliNB,0.7766484002121266
0.9,57,tok lem stem,TfidfVectorizer,MultinomialNB,0.8900477284779919
0.9,57,tok lem stem,TfidfVectorizer,BernoulliNB,0.7766484002121266
0.9,57,tok stop,CountVectorizer,MultinomialNB,0.8927876966590066
0.9,57,tok stop,CountVectorizer,BernoulliNB,0.8102351069471452
0.9,57,tok stop,TfidfVectorizer,MultinomialNB,0.8970302280360615
0.9,57,tok stop,TfidfVectorizer,BernoulliNB,0.8102351069471452
0.9,57,tok lem stop stem,CountVectorizer,MultinomialNB,0.8568145660243945
0.9,57,tok lem stop stem,CountVectorizer,BernoulliNB,0.8066112780625774
0.9,57,tok lem stop stem,TfidfVectorizer,MultinomialNB,0.8953508926993106
0.9,57,tok lem stop stem,TfidfVectorizer,BernoulliNB,0.8066112780625774
0.9,57,tok lem stop stem filt,CountVectorizer,MultinomialNB,0.8805020328796181
0.9,57,tok lem stop stem filt,CountVectorizer,BernoulliNB,0.7707265334983207
